"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"2022F","AL","AVTCB"," 1413"," 1474"," 1619"," 1884"," 1679"," 2250"," 2010"," 1924"," 2147"," 2043"," 1761"," 1792"," 1805"," 1670"," 1545"," 1259"," 1172"," 1231"," 1212"," 1186"," 1254"," 1143"," 874"," 894"," 871"," 868"," 1031"," 721"," 790"," 669"," 585"," 552"," 537"," 522"," 556"," 488"," 470"," 522"," 414"," 513"," 417"," 415"," 273"," 376"," 390"," 388"," 593"," 587"," 306"," 229"," 375"," 352"," 336"," 256"," 284"," 313"," 314"," 317"," 341"," 361"," 320"," 369"," 382"
"2022F","AL","AVTCP"," 280"," 292"," 321"," 373"," 333"," 446"," 398"," 381"," 425"," 405"," 349"," 355"," 358"," 331"," 306"," 249"," 232"," 244"," 240"," 235"," 248"," 226"," 173"," 177"," 172"," 172"," 204"," 143"," 157"," 133"," 116"," 109"," 106"," 103"," 110"," 97"," 93"," 103"," 82"," 102"," 83"," 82"," 54"," 74"," 77"," 77"," 118"," 116"," 61"," 45"," 74"," 70"," 66"," 51"," 56"," 62"," 62"," 63"," 68"," 71"," 63"," 73"," 76"
"2022F","AL","AVTXB"," 1413"," 1474"," 1619"," 1884"," 1679"," 2250"," 2010"," 1924"," 2147"," 2043"," 1761"," 1792"," 1805"," 1670"," 1545"," 1259"," 1172"," 1231"," 1212"," 1186"," 1254"," 1143"," 874"," 894"," 871"," 868"," 1031"," 721"," 790"," 669"," 585"," 552"," 537"," 522"," 556"," 488"," 470"," 522"," 414"," 513"," 417"," 415"," 273"," 376"," 390"," 388"," 593"," 587"," 306"," 229"," 375"," 352"," 336"," 256"," 284"," 313"," 314"," 317"," 341"," 361"," 320"," 369"," 382"
"2022F","AL","AVTXP"," 280"," 292"," 321"," 373"," 333"," 446"," 398"," 381"," 425"," 405"," 349"," 355"," 358"," 331"," 306"," 249"," 232"," 244"," 240"," 235"," 248"," 226"," 173"," 177"," 172"," 172"," 204"," 143"," 157"," 133"," 116"," 109"," 106"," 103"," 110"," 97"," 93"," 103"," 82"," 102"," 83"," 82"," 54"," 74"," 77"," 77"," 118"," 116"," 61"," 45"," 74"," 70"," 66"," 51"," 56"," 62"," 62"," 63"," 68"," 71"," 63"," 73"," 76"
"2022F","AL","B1ACB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","B1ACP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","B1TCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","B1TCP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","BDACB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 25"," 39"," 32"," 64"," 218"," 626"," 849"," 729"," 772"," 624"," 2127"," 2628"," 4441"," 3354"," 4257"," 7025"," 5822"," 5785"," 5205"," 5351"," 3896"," 3373"
"2022F","AL","BDACP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 7"," 6"," 12"," 41"," 117"," 158"," 136"," 144"," 116"," 397"," 490"," 829"," 626"," 794"," 1311"," 1086"," 1079"," 971"," 998"," 727"," 629"
"2022F","AL","BDLCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 7"," 8"," 1"," 0"," 0"," 2"," 43"," 32"," 26"," 26"," 22"," 22"," 20"," 21"," 22"," 22"
"2022F","AL","BDTCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 25"," 39"," 32"," 64"," 218"," 626"," 849"," 729"," 772"," 624"," 2127"," 2628"," 4441"," 3354"," 4257"," 7025"," 5822"," 5785"," 5205"," 5351"," 3896"," 3373"
"2022F","AL","BDTCP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 7"," 6"," 12"," 41"," 117"," 158"," 136"," 144"," 116"," 397"," 490"," 829"," 626"," 794"," 1311"," 1086"," 1079"," 971"," 998"," 727"," 629"
"2022F","AL","BFLCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 7"," 8"," 1"," 0"," 0"," 2"," 43"," 32"," 26"," 26"," 22"," 22"," 20"," 21"," 22"," 22"
"2022F","AL","BFTCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 95"," 239"," 271"," 1278"," 1968"," 3939"," 3509"," 1962"," 1620"," 1612"," 2586"," 1367"," 1469"," 2015"," 349"," 345"," 284"," 37"," 0"," 1318"," 920"," 1305"," 2583"," 383"," 778"," 1331"," 4477"," 9905"," 23897"," 24123"," 23902"," 26365"," 25459"," 27393"," 30713"," 29302"," 27793"," 27286"," 26927"," 29366"," 31045"
"2022F","AL","BMCAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 61.3"," 71"," 59.2"," 58.9"," 57.2"," 52.8"," 53.8"," 66.6"," 67.1"," 66.6"," 72.9"," 67.5"," 71.4"," 72.8"," 68.3"
"2022F","AL","BMTCB"," 45681"," 46171"," 45959"," 45764"," 46341"," 47641"," 49102"," 49050"," 52920"," 53345"," 52378"," 54068"," 58735"," 59084"," 58463"," 57615"," 62883"," 66705"," 66560"," 67874"," 141033"," 150242"," 153364"," 164722"," 175397"," 176696"," 160935"," 155656"," 161022"," 166994"," 145304"," 144773"," 151327"," 176217"," 215932"," 223971"," 208971"," 182204"," 209467"," 210694"," 203782"," 166334"," 163686"," 156371"," 186726"," 178417"," 194853"," 188449"," 177209"," 151859"," 181015"," 193453"," 194992"," 213553"," 203628"," 192277"," 194490"," 198078"," 196234"," 193303"," 187253"," 196321"," 194418"
"2022F","AL","BQICB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","BQICP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","BQTCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","BQTCP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","BTCAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 3.5"," 3.9"," 3"," 1.9"," 3.2"
"2022F","AL","BTGBP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"
"2022F","AL","BTVHN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," .5"," .7"," 1.3"," 1.9"," 2.8"," 4.6"," 7.5"
"2022F","AL","BTVHP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 2"," 3"," 5"," 7"," 12"
"2022F","AL","BYICB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","BYICP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
