"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"2022F","AL","ESICB"," 30591"," 31675"," 34706"," 37805"," 41884"," 46528"," 49483"," 52642"," 55634"," 61465"," 61556"," 61999"," 68869"," 73435"," 74543"," 69855"," 81024"," 87741"," 91981"," 97034"," 91128"," 84738"," 68110"," 67668"," 83194"," 82498"," 82044"," 86932"," 91297"," 92916"," 94232"," 95486"," 100572"," 104147"," 108908"," 112076"," 114379"," 111290"," 114436"," 117826"," 119538"," 109010"," 111284"," 116067"," 121451"," 123783"," 123790"," 123420"," 119385"," 100438"," 110377"," 115105"," 115159"," 115565"," 118174"," 114299"," 111010"," 113677"," 115042"," 111241"," 104942"," 109715"," 108204"
"2022F","AL","ESICP"," 8966"," 9283"," 10172"," 11080"," 12276"," 13636"," 14503"," 15429"," 16305"," 18014"," 18041"," 18171"," 20184"," 21523"," 21847"," 20473"," 23747"," 25715"," 26958"," 28439"," 26708"," 24835"," 19962"," 19832"," 24383"," 24179"," 24046"," 25478"," 26758"," 27232"," 27618"," 27985"," 29476"," 30524"," 31919"," 32847"," 33523"," 32617"," 33539"," 34533"," 35034"," 31949"," 32615"," 34017"," 35595"," 36279"," 36281"," 36172"," 34990"," 29437"," 32350"," 33735"," 33751"," 33870"," 34635"," 33499"," 32535"," 33317"," 33717"," 32603"," 30757"," 32156"," 31713"
"2022F","AL","ESRCB"," 14089"," 14640"," 16757"," 17880"," 19582"," 20984"," 22626"," 24282"," 31099"," 34996"," 39331"," 41754"," 45542"," 50171"," 50113"," 45752"," 48066"," 52022"," 53701"," 51279"," 56192"," 54291"," 53847"," 53958"," 58046"," 58626"," 62299"," 65833"," 67015"," 67702"," 70692"," 72653"," 72118"," 77206"," 79017"," 82959"," 87463"," 84935"," 93240"," 92287"," 98116"," 94861"," 102434"," 100369"," 102732"," 106847"," 110129"," 111857"," 109814"," 107442"," 121226"," 112606"," 104517"," 107064"," 112356"," 108872"," 109374"," 102978"," 112870"," 110602"," 106902"," 107769"," 112335"
"2022F","AL","ESRCP"," 4129"," 4291"," 4911"," 5240"," 5739"," 6150"," 6631"," 7117"," 9115"," 10257"," 11527"," 12237"," 13348"," 14704"," 14687"," 13409"," 14087"," 15247"," 15739"," 15029"," 16469"," 15912"," 15782"," 15814"," 17012"," 17182"," 18259"," 19294"," 19641"," 19842"," 20719"," 21293"," 21137"," 22628"," 23159"," 24314"," 25634"," 24893"," 27327"," 27048"," 28756"," 27802"," 30022"," 29416"," 30109"," 31315"," 32277"," 32783"," 32185"," 31489"," 35529"," 33003"," 30632"," 31379"," 32930"," 31909"," 32056"," 30181"," 33080"," 32416"," 31331"," 31585"," 32924"
"2022F","AL","ESRPP"," 1261"," 1294"," 1478"," 1561"," 1691"," 1786"," 1914"," 2058"," 2645"," 2982"," 3340"," 3499"," 3771"," 4108"," 4050"," 3645"," 3772"," 4033"," 4107"," 3887"," 4222"," 4061"," 4021"," 4020"," 4305"," 4325"," 4574"," 4805"," 4881"," 4923"," 5116"," 5195"," 5088"," 5369"," 5436"," 5659"," 5919"," 5699"," 6204"," 6105"," 6459"," 6223"," 6701"," 6532"," 6646"," 6853"," 6973"," 7016"," 6821"," 6618"," 7424"," 6876"," 6360"," 6494"," 6798"," 6573"," 6587"," 6187"," 6763"," 6605"," 6227"," 6254"," 6489"
"2022F","AL","ESTCB"," 52834"," 54621"," 60774"," 65732"," 72395"," 79259"," 84421"," 90170"," 101191"," 112599"," 118441"," 122161"," 134433"," 145731"," 147469"," 137761"," 151200"," 162565"," 168996"," 171351"," 171852"," 170184"," 153712"," 153835"," 170086"," 171168"," 176049"," 186646"," 193247"," 198535"," 204466"," 208908"," 212113"," 221977"," 230585"," 238863"," 249432"," 254378"," 270138"," 274328"," 284985"," 270770"," 283425"," 286076"," 296402"," 304356"," 309392"," 313319"," 306081"," 282666"," 310023"," 303652"," 294055"," 299751"," 308765"," 303141"," 301024"," 294257"," 308037"," 300581"," 284546"," 292017"," 296938"
"2022F","AL","ESTCP"," 15485"," 16009"," 17812"," 19265"," 21218"," 23230"," 24742"," 26427"," 29657"," 33001"," 34713"," 35803"," 39400"," 42711"," 43221"," 40375"," 44314"," 47645"," 49530"," 50220"," 50367"," 49878"," 45051"," 45087"," 49849"," 50166"," 51597"," 54703"," 56638"," 58187"," 59926"," 61227"," 62167"," 65058"," 67581"," 70007"," 73104"," 74554"," 79173"," 80401"," 83524"," 79358"," 83067"," 83844"," 86871"," 89202"," 90678"," 91828"," 89707"," 82845"," 90863"," 88995"," 86183"," 87852"," 90494"," 88846"," 88225"," 86242"," 90280"," 88095"," 83396"," 85585"," 87028"
"2022F","AL","ESTPP"," 4730"," 4828"," 5360"," 5737"," 6250"," 6747"," 7143"," 7642"," 8606"," 9593"," 10059"," 10238"," 11132"," 11931"," 11918"," 10975"," 11864"," 12603"," 12926"," 12989"," 12913"," 12729"," 11477"," 11460"," 12614"," 12628"," 12926"," 13624"," 14075"," 14438"," 14796"," 14937"," 14965"," 15438"," 15863"," 16293"," 16879"," 17068"," 17975"," 18149"," 18760"," 17763"," 18541"," 18618"," 19174"," 19520"," 19589"," 19652"," 19013"," 17412"," 18987"," 18542"," 17893"," 18183"," 18683"," 18301"," 18128"," 17680"," 18456"," 17949"," 16574"," 16946"," 17152"
"2022F","AL","ESTXB"," 52834"," 54621"," 60774"," 65732"," 72395"," 79259"," 84421"," 90170"," 101191"," 112599"," 118441"," 122161"," 134433"," 145731"," 147469"," 137761"," 151200"," 162565"," 168996"," 171351"," 171852"," 170184"," 153712"," 153835"," 170086"," 171168"," 176049"," 186646"," 193247"," 198535"," 204466"," 208908"," 212113"," 221977"," 230585"," 238863"," 249432"," 254378"," 270138"," 274328"," 284985"," 270770"," 283425"," 286076"," 296402"," 304356"," 309392"," 313319"," 306081"," 282666"," 310023"," 303652"," 294055"," 299751"," 308765"," 303141"," 301024"," 294257"," 308037"," 300581"," 284546"," 292017"," 296938"
"2022F","AL","ESTXP"," 15485"," 16009"," 17812"," 19265"," 21218"," 23230"," 24742"," 26427"," 29657"," 33001"," 34713"," 35803"," 39400"," 42711"," 43221"," 40375"," 44314"," 47645"," 49530"," 50220"," 50367"," 49878"," 45051"," 45087"," 49849"," 50166"," 51597"," 54703"," 56638"," 58187"," 59926"," 61227"," 62167"," 65058"," 67581"," 70007"," 73104"," 74554"," 79173"," 80401"," 83524"," 79358"," 83067"," 83844"," 86871"," 89202"," 90678"," 91828"," 89707"," 82845"," 90863"," 88995"," 86183"," 87852"," 90494"," 88846"," 88225"," 86242"," 90280"," 88095"," 83396"," 85585"," 87028"
"2022F","AL","ESVHP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 5"," 6"," 9"," 12"," 20"
"2022F","AL","EV0CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","EV1CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 38"," 23"," 54"," 72"," 58"," 58"," 37"," 37"
"2022F","AL","EV2CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 169"," 208"," 312"," 391"," 422"," 454"," 548"," 669"
"2022F","AL","EV2CR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 2.09"," 2.29"," 2.42"," 2.75"," 2.79"," 2.55"," 2.46"," 2.53"
"2022F","AL","EVCHN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 261"," 301"," 468"," 532"," 554"," 610"," 710"," 952"
"2022F","AL","EVCHP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 89"," 99"," 145"," 155"," 165"," 198"," 255"," 329"
"2022F","AL","EVDCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 54"," 70"," 102"," 69"," 74"," 98"," 125"," 246"
"2022F","AL","EVDCR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 3.6"," 4.12"," 5.1"," 4.06"," 4.11"," 3.92"," 4.03"," 3.9"
"2022F","AL","EVNNP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 6"," 10"," 16"," 29"," 27"," 29"," 29"," 0"
"2022F","AL","EVNOP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 58"," 58"," 76"," 76"," 79"," 87"," 100"," 98"
"2022F","AL","EVNTP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 25"," 31"," 53"," 50"," 59"," 82"," 126"," 231"
"2022F","AL","EVPPP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 21"," 21"," 21"," 22"," 20"," 20"," 20"," 20"
"2022F","AL","EVPUP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 37"," 44"," 77"," 86"," 98"," 131"," 178"," 250"
"2022F","AL","EVPVP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 31"," 34"," 47"," 47"," 47"," 47"," 57"," 59"
"2022F","AL","EYICB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","EYICP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","EYTCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","EYTCP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","FFGBP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 22372"," 22540"," 23519"," 23672"," 23555"," 23361"," 23000"," 21399"," 20228"," 20507"," 20660"," 19610"," 19089"," 19125"," 19125"
"2022F","AL","FFTCB"," 822115"," 806350"," 867815"," 905604"," 945962"," 1031999"," 1096662"," 1119566"," 1221587"," 1289583"," 1335404"," 1285877"," 1361964"," 1419141"," 1412062"," 1399605"," 1397728"," 1451646"," 1400261"," 1453003"," 1389728"," 1355478"," 1204809"," 1178158"," 1239755"," 1300708"," 1296050"," 1336014"," 1359629"," 1423637"," 1417536"," 1471946"," 1555598"," 1613257"," 1598792"," 1697019"," 1767610"," 1729624"," 1717057"," 1751979"," 1832388"," 1721113"," 1798330"," 1795948"," 1855825"," 1860336"," 1899987"," 1920264"," 1823410"," 1614322"," 1784245"," 1781656"," 1738377"," 1683213"," 1716811"," 1707635"," 1664163"," 1590371"," 1666915"," 1595190"," 1497435"," 1631605"," 1661542"
"2022F","AL","FNICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","FNICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","FOICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","FOICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","FSICB"," 0"," 0"," 0"," 93"," 91"," 107"," 117"," 165"," 142"," 140"," 193"," 235"," 232"," 195"," 254"," 553"," 631"," 724"," 834"," 603"," 735"," 379"," 504"," 292"," 548"," 587"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","FSICP"," 0"," 0"," 0"," 16"," 15"," 18"," 20"," 27"," 24"," 23"," 32"," 39"," 39"," 32"," 42"," 92"," 105"," 121"," 139"," 101"," 123"," 63"," 84"," 49"," 91"," 98"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","GDPRV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 105381.4"," 110838.8"," 116514.3"," 120522.6"," 123534.5"," 128380.9"," 135212.6"," 148379.1"," 158677.3"," 166048.2"," 172247"," 174665.6"," 170876.5"," 177510.7"," 182896.7"," 188280.7"," 193981.5"," 197064.4"," 203113.3"," 208824.3"," 216615.5"," 226263.8"," 234526.4"," 235118.3"," 257986.5"," 281569"
"2022F","AL","GDPRX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 154700"," 160396.4"," 166531.8"," 168695.3"," 168448.3"," 172430.4"," 178040"," 189913.7"," 197246.5"," 199923.9"," 202025.5"," 200967.4"," 194192.1"," 199455"," 201372.8"," 203675.5"," 206962.9"," 206070"," 208950.3"," 212862.8"," 216615.5"," 220808.8"," 224944.6"," 222081.4"," 231892.6"," 235807.3"
"2022F","AL","GECAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","GECCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","GEEGB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","GEEGP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","GEGBP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","GEICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 42"," 42"," 42"," 42"," 30"," 33"," 37"," 38"," 41"," 49"," 41"," 42"," 42"," 42"," 42"," 42"," 42"," 42"," 42"," 42"," 42"," 42"," 42"," 42"
"2022F","AL","GERCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 11"," 13"," 14"," 15"," 16"," 14"," 15"," 16"," 17"," 18"," 20"," 20"," 23"," 25"," 33"," 35"," 40"," 47"," 57"," 68"," 85"," 96"," 93"," 99"," 99"," 99"," 99"," 99"," 99"," 99"," 99"," 99"," 99"," 99"
"2022F","AL","GETCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 11"," 13"," 14"," 15"," 16"," 14"," 15"," 16"," 17"," 18"," 62"," 62"," 65"," 67"," 62"," 68"," 78"," 85"," 98"," 117"," 126"," 138"," 135"," 141"," 141"," 141"," 141"," 141"," 141"," 141"," 141"," 141"," 141"," 141"
"2022F","AL","GETXB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 11"," 13"," 14"," 15"," 16"," 14"," 15"," 16"," 17"," 18"," 62"," 62"," 65"," 67"," 62"," 68"," 78"," 85"," 98"," 117"," 126"," 138"," 135"," 141"," 141"," 141"," 141"," 141"," 141"," 141"," 141"," 141"," 141"," 141"
"2022F","AL","HLACB"," 117"," 116"," 195"," 225"," 296"," 166"," 259"," 288"," 374"," 475"," 378"," 446"," 465"," 457"," 351"," 334"," 412"," 430"," 469"," 230"," 178"," 507"," 630"," 748"," 844"," 617"," 561"," 386"," 347"," 341"," 370"," 360"," 325"," 449"," 742"," 358"," 299"," 261"," 64"," 59"," 153"," 44"," 63"," 254"," 716"," 284"," 306"," 210"," 470"," 318"," 137"," 147"," 140"," 171"," 171"," 239"," 298"," 19"," 80"," 160"," 130"," 152"," 184"
"2022F","AL","HLACP"," 31"," 30"," 51"," 59"," 77"," 43"," 67"," 75"," 98"," 124"," 98"," 116"," 121"," 119"," 91"," 87"," 107"," 112"," 122"," 60"," 46"," 132"," 164"," 195"," 220"," 161"," 146"," 100"," 90"," 89"," 96"," 94"," 85"," 117"," 193"," 93"," 78"," 68"," 17"," 15"," 40"," 11"," 16"," 66"," 186"," 74"," 80"," 55"," 122"," 83"," 36"," 38"," 37"," 45"," 45"," 62"," 78"," 5"," 21"," 42"," 34"," 39"," 48"
"2022F","AL","HLCCB"," 2630"," 2836"," 2939"," 3200"," 3523"," 3344"," 3921"," 4121"," 5458"," 6341"," 6159"," 6597"," 7237"," 6599"," 5348"," 4902"," 5593"," 5965"," 4855"," 2975"," 3240"," 3359"," 2870"," 3413"," 2521"," 2613"," 2990"," 3548"," 3472"," 3801"," 3365"," 2893"," 2770"," 3581"," 3503"," 3566"," 3658"," 3766"," 3244"," 5844"," 6164"," 4969"," 4221"," 3534"," 3509"," 2013"," 2573"," 2418"," 3121"," 2200"," 2516"," 2646"," 2052"," 2234"," 2181"," 1683"," 1717"," 2037"," 2151"," 2113"," 2220"," 2749"," 2345"
"2022F","AL","HLCCP"," 685"," 738"," 765"," 833"," 917"," 871"," 1021"," 1073"," 1421"," 1651"," 1603"," 1718"," 1884"," 1718"," 1392"," 1276"," 1456"," 1553"," 1264"," 775"," 844"," 874"," 747"," 889"," 656"," 680"," 778"," 924"," 904"," 990"," 876"," 753"," 721"," 932"," 912"," 928"," 952"," 980"," 844"," 1522"," 1605"," 1294"," 1099"," 920"," 914"," 524"," 670"," 629"," 813"," 573"," 655"," 689"," 534"," 582"," 568"," 438"," 447"," 530"," 560"," 550"," 578"," 716"," 611"
"2022F","AL","HLICB"," 2679"," 2763"," 3571"," 4025"," 4656"," 3862"," 4206"," 4060"," 4999"," 6288"," 6186"," 6207"," 7453"," 7782"," 7146"," 6521"," 6413"," 7187"," 7493"," 10258"," 6547"," 4468"," 5378"," 3580"," 2707"," 3528"," 3717"," 4279"," 3797"," 3921"," 3106"," 3414"," 4423"," 5309"," 5728"," 5781"," 4571"," 2281"," 645"," 5217"," 5294"," 8502"," 4424"," 3551"," 3424"," 2726"," 3274"," 4948"," 2433"," 1761"," 2111"," 2007"," 2289"," 2017"," 1809"," 1664"," 1538"," 1777"," 1548"," 1913"," 1959"," 2795"," 2880"
"2022F","AL","HLICK"," 3.783"," 3.783"," 3.783"," 3.784"," 3.785"," 3.786"," 3.785"," 3.783"," 3.739"," 3.707"," 3.648"," 3.634"," 3.615"," 3.593"," 3.567"," 3.534"," 3.528"," 3.464"," 3.447"," 3.537"," 3.526"," 3.478"," 3.441"," 3.418"," 3.415"," 3.421"," 3.48"," 3.512"," 3.501"," 3.543"," 3.448"," 3.435"," 3.458"," 3.424"," 3.48"," 3.462"," 3.437"," 3.449"," 3.448"," 3.44"," 3.42"," 3.426"," 3.43"," 3.447"," 3.434"," 3.433"," 3.42"," 3.392"," 3.37"," 3.313"," 3.841"," 3.841"," 3.841"," 3.841"," 3.841"," 3.841"," 3.841"," 3.841"," 3.841"," 3.841"," 3.841"," 3.841"," 3.841"
"2022F","AL","HLICP"," 708"," 730"," 944"," 1064"," 1230"," 1020"," 1111"," 1073"," 1337"," 1696"," 1696"," 1708"," 2062"," 2166"," 2003"," 1846"," 1818"," 2075"," 2174"," 2900"," 1857"," 1284"," 1563"," 1048"," 793"," 1031"," 1068"," 1218"," 1084"," 1107"," 901"," 994"," 1279"," 1551"," 1646"," 1670"," 1330"," 661"," 187"," 1517"," 1548"," 2481"," 1290"," 1030"," 997"," 794"," 957"," 1459"," 722"," 532"," 550"," 522"," 596"," 525"," 471"," 433"," 401"," 463"," 403"," 498"," 510"," 728"," 750"
"2022F","AL","HLRCB"," 6865"," 7401"," 7670"," 8354"," 9196"," 8729"," 10235"," 10757"," 14246"," 16551"," 16074"," 17220"," 18890"," 17225"," 13959"," 12794"," 14600"," 15568"," 12673"," 7766"," 8457"," 8767"," 7490"," 8908"," 6579"," 6821"," 7805"," 9260"," 9061"," 9921"," 8782"," 7552"," 7231"," 9347"," 9143"," 9308"," 9547"," 9829"," 8466"," 15255"," 16090"," 12970"," 11016"," 8366"," 9068"," 6202"," 6391"," 6846"," 7569"," 7798"," 8504"," 5876"," 4208"," 4688"," 4942"," 5395"," 5041"," 4760"," 5741"," 6034"," 5802"," 4511"," 4596"
"2022F","AL","HLRCP"," 1787"," 1927"," 1997"," 2175"," 2394"," 2273"," 2665"," 2801"," 3709"," 4309"," 4185"," 4483"," 4918"," 4484"," 3634"," 3331"," 3801"," 4053"," 3299"," 2022"," 2202"," 2282"," 1950"," 2319"," 1713"," 1776"," 2032"," 2411"," 2359"," 2583"," 2286"," 1966"," 1883"," 2433"," 2380"," 2423"," 2486"," 2559"," 2204"," 3972"," 4189"," 3377"," 2868"," 2178"," 2361"," 1615"," 1664"," 1782"," 1970"," 2030"," 2214"," 1530"," 1096"," 1220"," 1287"," 1405"," 1312"," 1239"," 1495"," 1571"," 1511"," 1174"," 1196"
"2022F","AL","HLTCB"," 12291"," 13117"," 14375"," 15804"," 17671"," 16101"," 18620"," 19226"," 25077"," 29656"," 28798"," 30471"," 34045"," 32063"," 26804"," 24551"," 27018"," 29149"," 25491"," 21229"," 18423"," 17100"," 16368"," 16649"," 12651"," 13580"," 15073"," 17472"," 16677"," 17984"," 15623"," 14220"," 14749"," 18686"," 19116"," 19013"," 18074"," 16136"," 12419"," 26375"," 27700"," 26486"," 19723"," 15706"," 16718"," 11224"," 12544"," 14423"," 13593"," 12078"," 13270"," 10675"," 8689"," 9110"," 9103"," 8981"," 8595"," 8593"," 9519"," 10220"," 10111"," 10206"," 10005"
"2022F","AL","HLTCK"," 3.828"," 3.829"," 3.827"," 3.826"," 3.826"," 3.828"," 3.828"," 3.829"," 3.82"," 3.812"," 3.798"," 3.797"," 3.789"," 3.778"," 3.764"," 3.754"," 3.762"," 3.741"," 3.716"," 3.688"," 3.723"," 3.739"," 3.7"," 3.741"," 3.741"," 3.722"," 3.745"," 3.755"," 3.758"," 3.772"," 3.756"," 3.735"," 3.717"," 3.713"," 3.725"," 3.717"," 3.73"," 3.78"," 3.818"," 3.754"," 3.753"," 3.697"," 3.74"," 3.744"," 3.75"," 3.733"," 3.721"," 3.674"," 3.747"," 3.754"," 3.841"," 3.841"," 3.841"," 3.841"," 3.841"," 3.841"," 3.841"," 3.841"," 3.841"," 3.841"," 3.841"," 3.841"," 3.841"
